number,title,author,reviewState,submittedAt,reviewDecision
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,COMMENTED,2025-07-06T15:00:49Z,APPROVED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,COMMENTED,2025-07-10T11:32:52Z,APPROVED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,DISMISSED,2025-07-10T11:33:43Z,APPROVED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,COMMENTED,2025-07-10T17:54:09Z,APPROVED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,COMMENTED,2025-07-15T18:19:24Z,APPROVED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,APPROVED,2025-07-15T18:20:46Z,APPROVED
6939,refactor: use an object spread instead of Object.assign,noritaka1166,APPROVED,2025-06-26T07:36:51Z,APPROVED
6938,refactor: use spread operator instead of '.apply()',noritaka1166,APPROVED,2025-06-26T07:37:26Z,APPROVED
6930,fix(platform): replace crypto with cross-platform getRandomValues helper,WillianAgostini,APPROVED,2025-06-24T18:45:19Z,APPROVED
6923,chore: fix typos in test,noritaka1166,APPROVED,2025-06-01T16:25:02Z,APPROVED
6922,refactor: remove unused import in test,noritaka1166,APPROVED,2025-06-01T16:25:50Z,APPROVED
6917,Fix boolean values causing error when performing POST multipart/form-data,dimitry-lzs,COMMENTED,2025-05-21T15:26:22Z,APPROVED
6917,Fix boolean values causing error when performing POST multipart/form-data,dimitry-lzs,APPROVED,2025-05-21T15:32:22Z,APPROVED
6895,feat: add HTTP/2 support,WillianAgostini,COMMENTED,2025-04-27T22:28:10Z,
6895,feat: add HTTP/2 support,WillianAgostini,COMMENTED,2025-08-27T06:33:31Z,
6895,feat: add HTTP/2 support,WillianAgostini,APPROVED,2025-09-13T08:42:57Z,
6894,docs(CONTRIBUTING): update documentation link for better accuracy,Tejaswi1305,APPROVED,2025-06-26T07:39:40Z,APPROVED
6883,fix(adapter): pass fetchOptions to fetch function,warpdev,COMMENTED,2025-04-25T19:24:57Z,APPROVED
6883,fix(adapter): pass fetchOptions to fetch function,warpdev,APPROVED,2025-06-01T16:31:33Z,APPROVED
6872,Updated README to correct description of keepAlive option,howiezhao,APPROVED,2025-04-25T19:07:21Z,APPROVED
6870,"Improve fetchOptions type for better autocomplete, type safety, and Next.js compatibility",vgotu99,COMMENTED,2025-04-25T19:25:07Z,
6855,fix(types): no auto complete for adapters,FatahChan,APPROVED,2025-03-28T00:11:25Z,
6833,fix(buildFullPath): handle `allowAbsoluteUrls: false` without `baseURL`,mhassan1,DISMISSED,2025-03-17T17:25:14Z,
6833,fix(buildFullPath): handle `allowAbsoluteUrls: false` without `baseURL`,mhassan1,COMMENTED,2025-03-17T17:38:18Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,CHANGES_REQUESTED,2025-03-17T15:00:40Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,COMMENTED,2025-03-17T17:21:39Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,COMMENTED,2025-03-17T17:39:30Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,COMMENTED,2025-03-17T17:40:11Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,COMMENTED,2025-03-18T15:21:29Z,
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,COMMENTED,2025-03-19T10:18:45Z,
6818,fix: add missing type for allowAbsoluteUrls,StefanBRas,APPROVED,2025-03-10T12:28:30Z,APPROVED
6811,docs: update readme to include bun install,Electroid,APPROVED,2025-03-10T12:29:01Z,APPROVED
6808,[Chore] Update sponsor block,github-actions,APPROVED,2025-03-06T01:35:06Z,
6804,[Chore] Update sponsor block,github-actions,COMMENTED,2025-03-06T13:54:12Z,
6787,docs: Modify upgrade guide for 0.28.1's breaking change,nafeger,APPROVED,2025-03-10T17:09:07Z,APPROVED
6782,Include custom response headers,WillianAgostini,APPROVED,2025-08-12T07:28:45Z,APPROVED
6777,Include License Header in Minified JavaScript File,WillianAgostini,APPROVED,2025-02-09T09:14:13Z,APPROVED
6774,Codespace vigilant capybara vppq57x5v6ghx5vg,ericdimon86,COMMENTED,2025-02-04T17:42:58Z,
6772,Codespace psychic disco jrrqgwx96672q5gq,ericdimon86,COMMENTED,2025-02-04T17:30:08Z,
6771,fix: typo in README,llamington,APPROVED,2025-01-31T17:06:23Z,APPROVED
6770,Added missing colons and period for consistency,shaymolcho,APPROVED,2025-01-28T17:29:55Z,APPROVED
6767,fix(fetch): fix ERR_NETWORK mapping for Safari browsers;,DigitalBrainJS,APPROVED,2025-04-25T10:21:45Z,
6757,Fix missing word in SUPPORT_QUESTION.yml,dandv,APPROVED,2025-01-28T17:32:09Z,APPROVED
6731,Update axios.js expose the formDataToStream for public use,unknown,APPROVED,2024-12-05T14:25:43Z,APPROVED
6730,[Release] v1.7.9,github-actions,COMMENTED,2024-12-29T14:08:51Z,
6708,fix: Regular Expression Denial of Service (ReDoS),qiongshusheng,APPROVED,2024-11-15T07:26:19Z,APPROVED
6683,Group all GitHub Actions updates into a single larger pull request,cclauss,APPROVED,2024-11-08T09:31:40Z,APPROVED
