number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6873,fix(headers): allow iterable objects to be a data source for the set method;,DigitalBrainJS,0,0,0
6872,Updated README to correct description of keepAlive option,howiezhao,1,0,1
6870,"Improve fetchOptions type for better autocomplete, type safety, and Next.js compatibility",vgotu99,1,0,1
6867,Improved fetchOptions interface,AdrianKnapp,1,0,0
6864,[Chore] Update sponsor block,github-actions,0,0,0
6862,[Chore] Update sponsor block,github-actions,0,0,0
6861,chore(deps-dev): bump tar-fs from 2.1.1 to 2.1.2,dependabot,1,0,0
6860,[Chore] Update sponsor block,github-actions,0,0,0
6855,fix(types): no auto complete for adapters,FatahChan,4,0,1
6853,Ignore,michaeljherrmann,0,0,0
6849,add allowAbsoluteUrls type,thatguyinabeanie,3,0,0
6844,[Release] v1.8.4,github-actions,0,0,0
6842,chore(deps-dev): bump rollup from 2.79.1 to 2.79.2,dependabot,1,0,0
6841,chore(deps-dev): bump elliptic from 6.6.0 to 6.6.1,dependabot,1,0,0
6838,chore(deps): bump tj-actions/changed-files from 45 to 46 in the github-actions group,dependabot,0,0,0
6836,Fix/canceled error cyclic reference,Nandan-P-Kashyap,0,0,0
6835,fix(canceled-error): break cyclic reference to prevent JSON.stringify…,Nandan-P-Kashyap,1,0,0
6834,[Chore] Update sponsor block,github-actions,0,0,0
6833,fix(buildFullPath): handle `allowAbsoluteUrls: false` without `baseURL`,mhassan1,2,1,2
6830,[Chore] Update sponsor block,github-actions,0,0,0
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,9,5,6
6826,[Chore] Update sponsor block,github-actions,0,0,0
6825,Backport axios vuln fix,thatguyinabeanie,0,0,0
6823,chore(deps-dev): bump browserify-sign from 4.2.1 to 4.2.3,dependabot,1,0,0
6822,[Chore] Update sponsor block,github-actions,0,0,0
6820,[Chore] Update sponsor block,github-actions,0,0,0
6819,[Release] v1.8.3,github-actions,1,0,0
6818,fix: add missing type for allowAbsoluteUrls,StefanBRas,3,0,1
6814,fix(xhr/fetch): pass `allowAbsoluteUrls` to `buildFullPath` in `xhr` and `fetch` adapters,mhassan1,1,0,0
6812,[Release] v1.8.2,github-actions,0,0,0
6811,docs: update readme to include bun install,Electroid,1,0,1
6810,fix(http-adapter): add allowAbsoluteUrls to path building,lexcorp16,1,0,0
6808,[Chore] Update sponsor block,github-actions,0,0,1
6804,[Chore] Update sponsor block,github-actions,0,0,1
6802,fix: react native package exports support,santhoshvai,3,0,0
6800,[Release] v1.8.1,github-actions,0,0,0
6799,"Revert ""fix(utils): replace getRandomValues with crypto module (#6788)""",YuanBLQ,1,0,0
6795,[Release] v1.8.0,github-actions,0,0,0
6794,[Chore] Update sponsor block,github-actions,0,0,0
6789,fix(utils): move `generateString` to platform utils to avoid importing crypto module into client builds;,DigitalBrainJS,1,0,0
6788,fix: resolve insecure randomness issue,WillianAgostini,5,0,0
6787,docs: Modify upgrade guide for 0.28.1's breaking change,nafeger,0,0,1
6783,D,strichstarke,0,0,0
6782,Include custom response headers,WillianAgostini,1,0,1
6781,feat: add disableDefaultUserAgent Option,myyrakle,0,0,0
6777,Include License Header in Minified JavaScript File,WillianAgostini,2,0,1
6775,Axios,ericdimon86,1,0,0
6774,Codespace vigilant capybara vppq57x5v6ghx5vg,ericdimon86,0,0,1
6773,Main,ericdimon86,1,0,0
6772,Codespace psychic disco jrrqgwx96672q5gq,ericdimon86,0,0,1
6771,fix: typo in README,llamington,1,0,1
6770,Added missing colons and period for consistency,shaymolcho,1,0,1
6767,fix(fetch): fix ERR_NETWORK mapping for Safari browsers;,DigitalBrainJS,0,0,1
6762,[Types]:  Improve TypeScript Language Server Suggestions for Adapter Names,tharropoulos,2,0,0
6757,Fix missing word in SUPPORT_QUESTION.yml,dandv,1,0,1
