repository,total_prs,reviews_max,reviews_mean,reviews_median,reviews_min,reviews_mode,reviews_std,reviews_variance,hours_open_max,hours_open_mean,hours_open_median,hours_open_min,hours_open_mode,hours_open_std,hours_open_variance
MunGell/awesome-for-beginners,293,7.00,1.53,1.00,1.00,1.00,0.97,0.95,33347.01,5185.52,1599.81,1.59,113.42,6951.24,48319729.67
n8n-io/n8n,8143,114.00,3.36,2.00,1.00,1.00,4.37,19.06,31655.19,263.61,27.56,1.00,1.09,1181.20,1395231.53
nektos/act,695,41.00,2.86,2.00,1.00,1.00,3.60,12.95,12012.57,476.16,100.36,1.11,32.75,1199.67,1439218.76
neovim/neovim,7559,155.00,5.57,2.00,1.00,1.00,9.84,96.75,87950.73,1136.09,41.96,1.00,1.11,4574.86,20929384.32
nestjs/nest,720,29.00,3.33,2.00,1.00,1.00,3.84,14.77,40797.40,1356.34,234.43,1.14,93.98,3540.50,12535151.46
netdata/netdata,7030,304.00,4.04,2.00,1.00,2.00,7.00,49.04,35724.77,371.17,24.18,1.00,1.47,1716.00,2944645.65
nodejs/node,29550,1686.00,6.66,5.00,1.00,3.00,13.13,172.34,52869.25,609.84,89.19,1.00,48.06,2424.16,5876565.84
nomic-ai/gpt4all,636,42.00,2.16,1.00,1.00,1.00,2.94,8.67,6599.52,274.46,29.77,1.01,1.08,861.87,742814.03
nvbn/thefuck,122,20.00,2.83,2.00,1.00,1.00,3.10,9.60,42933.07,3016.23,323.09,1.29,32.66,6492.05,42146710.87
nvm-sh/nvm,491,79.00,4.02,2.00,1.00,1.00,7.19,51.73,72926.91,4372.04,93.71,1.01,31.99,11046.07,122015689.47
obsproject/obs-studio,2608,239.00,4.15,2.00,1.00,1.00,9.32,86.95,54276.04,1545.85,143.73,1.00,2.98,4377.65,19163780.23
ocornut/imgui,75,21.00,3.44,2.00,1.00,2.00,3.53,12.47,40602.45,6496.64,404.75,2.37,25345.05,11549.12,133382072.14
ohmyzsh/ohmyzsh,993,24.00,1.91,1.00,1.00,1.00,2.14,4.58,85986.42,6636.17,695.15,1.01,1.04,12237.08,149746013.50
ollama/ollama,2011,192.00,3.36,1.00,1.00,1.00,7.16,51.25,12920.21,459.98,42.26,1.00,1.05,1209.47,1462807.29
open-webui/open-webui,309,51.00,3.21,2.00,1.00,1.00,4.37,19.08,5340.69,208.17,43.57,1.00,9.26,499.02,249025.43
openai/openai-cookbook,570,46.00,2.24,1.00,1.00,1.00,3.62,13.07,8471.53,457.68,97.06,1.04,3.05,909.55,827279.32
openai/whisper,36,25.00,2.56,1.00,1.00,1.00,4.27,18.20,20205.69,1504.53,586.55,1.39,5.56,3434.77,11797610.89
opencv/opencv,6904,263.00,4.56,1.00,1.00,1.00,9.87,97.43,43774.65,510.82,63.33,1.01,1.28,1983.23,3933215.83
ossu/computer-science,29,16.00,1.79,1.00,1.00,1.00,2.78,7.74,7661.67,806.03,82.32,1.58,238.13,1776.08,3154477.69
oven-sh/bun,3146,158.00,4.22,2.00,1.00,1.00,7.58,57.38,17441.35,584.40,26.55,1.00,1.96,1725.19,2976286.94
pallets/flask,215,30.00,3.51,2.00,1.00,1.00,3.76,14.11,27117.51,1165.60,82.60,1.06,4.13,3187.18,10158118.18
PanJiaChen/vue-element-admin,11,3.00,1.73,2.00,1.00,1.00,0.79,0.62,37818.54,7119.74,46.53,1.12,31.81,14564.94,212137452.37
papers-we-love/papers-we-love,32,5.00,1.41,1.00,1.00,1.00,0.95,0.89,12841.30,983.80,13.68,1.40,205.51,2812.60,7910746.04
PKUFlyingPig/cs-self-learning,86,5.00,1.42,1.00,1.00,1.00,0.85,0.72,12246.57,211.96,15.36,1.08,1.92,1329.97,1768824.18
practical-tutorials/project-based-learning,61,3.00,1.07,1.00,1.00,1.00,0.31,0.10,24652.98,3188.81,308.56,3.80,10.19,5427.74,29460368.91
