repository,total_prs,reviews_max,reviews_mean,reviews_median,reviews_min,reviews_mode,reviews_std,reviews_variance,hours_open_max,hours_open_mean,hours_open_median,hours_open_min,hours_open_mode,hours_open_std,hours_open_variance
twitter/the-algorithm,116,41.00,2.56,1.00,1.00,1.00,4.32,18.63,19001.02,1501.88,48.60,1.15,3.53,3987.93,15903575.27
typicode/json-server,9,7.00,2.22,1.00,1.00,1.00,2.05,4.19,43759.07,8203.79,1140.10,5.38,43759.07,14198.37,201593587.29
unionlabs/union,1719,40.00,2.53,2.00,1.00,1.00,2.83,8.00,8420.46,103.38,12.99,1.01,1.29,426.46,181864.72
ventoy/Ventoy,21,9.00,1.90,1.00,1.00,1.00,1.87,3.49,16212.57,2427.42,201.43,2.47,75.88,4566.18,20850000.83
vercel/next.js,19914,179.00,2.79,2.00,1.00,1.00,4.05,16.37,26090.63,340.32,20.92,1.00,1.06,1338.34,1791145.93
vinta/awesome-python,172,21.00,2.09,1.00,1.00,1.00,2.24,5.00,48470.38,9708.61,5054.43,1.84,1.84,11436.81,130800653.35
vitejs/vite,4758,179.00,3.51,2.00,1.00,1.00,5.02,25.17,31963.85,548.28,34.27,1.00,1.05,1887.65,3563235.70
vuejs/awesome-vue,2610,10.00,1.22,1.00,1.00,1.00,0.62,0.39,26172.31,399.23,23.33,1.00,3.12,1222.03,1493346.26
vuejs/vue,520,22.00,2.44,2.00,1.00,1.00,2.19,4.77,58831.50,3237.23,203.94,1.15,1.99,7532.55,56739375.65
webpack/webpack,2991,69.00,2.77,2.00,1.00,1.00,3.52,12.36,66396.80,1104.80,62.50,1.00,2.15,3934.78,15482481.93
xtekky/gpt4free,185,15.00,1.56,1.00,1.00,1.00,1.72,2.96,1140.92,57.59,21.19,1.01,21.89,139.77,19535.13
yangshun/tech-interview-handbook,129,8.00,1.34,1.00,1.00,1.00,1.03,1.05,5972.45,292.67,13.65,1.14,6.77,889.52,791237.10
yt-dlp/yt-dlp,2320,128.00,5.57,3.00,1.00,1.00,7.68,59.02,31020.04,783.39,108.17,1.00,1.16,2375.53,5643149.52
ytdl-org/youtube-dl,909,53.00,4.20,2.00,1.00,1.00,5.53,30.57,71432.45,10299.04,976.11,1.02,1.43,16207.18,262672710.04
zed-industries/zed,2722,50.00,2.83,1.00,1.00,1.00,3.72,13.82,6426.71,210.37,37.03,1.00,1.08,460.28,211853.16
