number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
177,Update License to 2024,davidcardenasus,2024-01-18T17:40:04Z,2024-01-18T18:49:37+00:00,1,1.16
190,Publish arm64 Docker images,mikery,2024-02-05T08:17:24Z,2024-02-23T07:40:53+00:00,1,431.39
193,Upgrade to v1.5.1 and v1.101308.0,danyalprout,2024-02-12T16:12:15Z,2024-02-13T19:38:49+00:00,2,27.44
200,Update to op-node v1.6.1 and op-geth v1.101308.1,danyalprout,2024-02-20T17:23:51Z,2024-02-21T19:12:13+00:00,1,25.81
204,fix(node): Return correct version information,danyalprout,2024-02-26T21:18:24Z,2024-02-26T23:13:05+00:00,1,1.91
209,[Chore] Add OP_NODE_SYNCMODE,xiaoxiaff,2024-02-29T06:46:12Z,2024-03-05T02:24:49+00:00,1,115.64
232,[Chore] Enable full node syncing,xiaoxiaff,2024-04-01T17:27:55Z,2024-04-02T00:19:00+00:00,1,6.85
233,Change GCMODE to full + update docs,wbnns,2024-04-02T02:31:05Z,2024-04-02T08:54:34+00:00,1,6.39
243,chore: remove repetitive words,ChengenH,2024-04-22T04:40:15Z,2024-04-23T16:02:14+00:00,1,35.37
247,docs(.env.*) Add note regarding snap sync not for production use,wbnns,2024-04-23T13:14:14Z,2024-04-23T14:56:50+00:00,1,1.71
250,docs(.env.*): Uncomment OP_NODE_L1_BEACON (required),wbnns,2024-04-25T15:33:28Z,2024-04-25T17:34:11+00:00,2,2.01
253,Update op-node to v1.7.5 and op-geth to v1.101311.0,henridevieux,2024-05-03T02:37:48Z,2024-05-03T12:32:32+00:00,1,9.91
262,docs(readme): HDD requirements,wbnns,2024-05-23T22:21:24Z,2024-06-08T02:32:58+00:00,2,364.19
263,Update op-node to v1.7.6 and op-geth to v1.101315.1,danyalprout,2024-05-24T21:33:48Z,2024-05-28T14:21:42+00:00,4,88.8
271,chore: add reth configuration & cleanup configs,danyalprout,2024-06-12T02:27:03Z,2024-06-14T02:58:47+00:00,10,48.53
273,fix missing end quote on nat IP,coffeexcoin,2024-06-13T02:13:17Z,2024-06-13T15:26:06+00:00,1,13.21
279,op-node: v1.7.7 / op-geth: v1.101315.2 / op-reth: v1.0.0-rc.2,danyalprout,2024-06-19T15:53:44Z,2024-06-20T15:22:33+00:00,1,23.48
280,fix: typo in natextip for op-geth,coval3nte,2024-06-20T10:26:31Z,2024-06-20T15:15:14+00:00,1,4.81
282,restore recommendation for NVME drive,roberto-bayardo,2024-06-24T15:11:43Z,2024-06-24T17:57:35+00:00,1,2.76
286,Update Reth to commit that supports CL sync,danyalprout,2024-06-27T15:09:58Z,2024-06-27T16:33:57+00:00,1,1.4
291,chore: remove unused env vars,danyalprout,2024-07-06T19:35:44Z,2024-07-07T22:02:11+00:00,1,26.44
302,Update README.md,evslatts,2024-07-22T09:38:11Z,2024-07-22T11:42:19+00:00,1,2.07
307,docs(readme): Add additional recommended specs for running a node,wbnns,2024-08-06T23:42:58Z,2024-09-17T14:26:34+00:00,7,998.73
308,chore: update reth version & return to upstream,danyalprout,2024-08-07T17:33:18Z,2024-08-07T20:58:54+00:00,1,3.43
310,"chore: update reth (v1.0.5), op-node (v1.9.0)",danyalprout,2024-08-09T21:26:09Z,2024-08-10T02:00:24+00:00,1,4.57
311,Update geth-entrypoint,web3-nodeops,2024-08-10T11:28:18Z,2024-08-12T14:38:37+00:00,2,51.17
314,Enable discovery for reth node,walkerlala,2024-08-15T10:26:56Z,2024-09-30T15:28:58+00:00,1,1109.03
317,Upgrade to op-node 1.9.1,henridevieux,2024-08-30T01:26:08Z,2024-08-30T12:51:36+00:00,1,11.42
321,Docs: Update README,Olexandr88,2024-09-10T04:50:39Z,2024-09-29T00:30:15+00:00,1,451.66
329,Add Nethermind,stdevMac,2024-09-27T07:03:56Z,2024-10-21T17:55:24+00:00,13,586.86
330,Allow execution nodes to act as peers for other nodes,benaadams,2024-09-27T13:38:07Z,2024-09-27T16:59:59+00:00,2,3.36
337,"op-node(1.9.4), op-geth(v1.101411.0), op-reth(1.1.0)",danyalprout,2024-10-21T16:48:30Z,2024-10-21T18:27:03+00:00,2,1.64
344,Avoid redundant `git switch` in Dockerfile for cleaner and more effic…,Rufusfavour,2024-11-07T21:44:39Z,2024-12-15T17:29:53+00:00,1,907.75
345,Docs: Readme,Olexandr88,2024-11-08T07:55:48Z,2024-11-28T19:12:12+00:00,8,491.27
350,"Upgrade op-node (v1.9.5), op-geth (v1.101411.1), op-reth (v1.1.1)",henridevieux,2024-11-18T15:54:11Z,2024-11-18T17:57:15+00:00,1,2.05
364,docs: Fix Typo Update README.md,mdqst,2024-12-06T18:18:02Z,2024-12-28T13:07:54+00:00,1,522.83
367,Upgrade op-node(v1.10.2) op-geth(v1.101411.4) and reth(v1.1.4),henridevieux,2024-12-18T20:18:08Z,2024-12-18T21:23:30+00:00,2,1.09
374,Consistent Docker Buildx Action Version,Mukzid,2024-12-30T05:59:12Z,2025-02-11T09:13:24+00:00,1,1035.24
375,docs: readme,Olexandr88,2024-12-30T16:30:46Z,2025-03-18T13:24:47+00:00,1,1868.9
376,docs: typo fix Update README.md,mdqst,2024-12-31T10:35:10Z,2025-02-11T09:09:35+00:00,1,1006.57
380,Update Nethermind to 1.30.3 (and op node),benaadams,2025-01-05T16:19:02Z,2025-01-23T19:22:44+00:00,1,435.06
382,Upgrade to reth 1.1.5,cody-wang-cb,2025-01-07T16:47:48Z,2025-01-07T17:51:29+00:00,1,1.06
395,feat: improve network configuration handling,VolodymyrBg,2025-01-26T11:15:10Z,2025-02-11T09:06:52+00:00,1,381.86
401,Fix: adding l2 engine kind param in .env for faster sync,etherhood,2025-01-31T08:59:45Z,2025-02-11T10:29:16+00:00,2,265.49
403,[Chore] Update build-push-action to latest v6,0x00101010,2025-02-01T18:24:40Z,2025-02-03T16:04:15+00:00,2,45.66
404,chore: simplified variable check condition,0xkazak,2025-02-02T10:12:58Z,2025-02-11T09:02:34+00:00,1,214.83
406,Update workflow config to fix docker publish,0x00101010,2025-02-03T16:43:04Z,2025-02-03T18:05:17+00:00,1,1.37
411,"chore: Upgrade geth version to v1.101500.0, Pectra compat",BrianBland,2025-02-13T18:27:36Z,2025-02-18T19:14:29+00:00,2,120.78
412,"chore: Upgrade reth version to 1.2.0, Pectra compat",BrianBland,2025-02-13T18:30:08Z,2025-02-18T20:13:24+00:00,2,121.72
420,chore: update op-node (v1.11.2) op-geth (v1.101500.1),danyalprout,2025-02-28T14:53:56Z,2025-02-28T17:00:59+00:00,2,2.12
422,docs: fix minor wording issue in security section,annwag,2025-03-06T12:27:17Z,2025-05-09T13:08:20+00:00,1,1536.68
425,chore: update reth to 1.3.0,danyalprout,2025-03-13T19:58:27Z,2025-03-17T16:18:01+00:00,1,92.33
429,Build arm64 multiplatform images,dguenther,2025-03-19T15:09:25Z,2025-03-19T18:51:05+00:00,1,3.69
437,"Updates op-node=v1.13.0, op-geth=v1.101503.2, op-reth=v1.3.7",henridevieux,2025-04-05T04:43:17Z,2025-04-05T14:10:39+00:00,3,9.46
440,chore: update reth to 1.3.9,danyalprout,2025-04-14T14:19:12Z,2025-04-14T15:53:32+00:00,1,1.57
441,chore: bump reth to v1.3.11,danyalprout,2025-04-16T21:26:21Z,2025-04-16T22:37:58+00:00,3,1.19
445,ci: bump actions/checkout to v4,dizer-ti,2025-04-22T18:36:25Z,2025-07-02T22:13:03+00:00,1,1707.61
446,Add setup for node-reth,cody-wang-cb,2025-04-23T22:34:49Z,2025-04-24T21:30:40+00:00,2,22.93
447,refactor(configs): Update for Geth and Reth ,wbnns,2025-04-24T11:28:01Z,2025-04-28T20:39:48+00:00,48,105.2
454,Upgrade op-node=v.1.13.2 and op-geth=v1.101503.4,henridevieux,2025-04-28T14:43:52Z,2025-04-28T16:41:43+00:00,3,1.96
455,refactor(reth/Dockerfile): Reference tag not branch,wbnns,2025-04-28T22:20:18Z,2025-04-28T23:49:57+00:00,1,1.49
458,bump node-reth commit reference to ad9d2be for latest flash-block metrics,sconeman,2025-05-08T08:36:55Z,2025-05-09T13:31:08+00:00,1,28.9
460,refactor(reth/dockerfile): Reference tag instead of branch,wbnns,2025-05-09T13:25:23Z,2025-05-12T15:29:00+00:00,1,74.06
465,feat: add additional port configuration options for disc/p2p,coffeexcoin,2025-05-18T19:17:11Z,2025-07-02T22:10:34+00:00,1,1082.89
470,Update op-node and Nethermind for Isthmus hard fork,surtling44,2025-05-27T09:30:50Z,2025-05-28T17:46:32+00:00,3,32.26
472,chore: update reth binaries to v1.4.3,danyalprout,2025-05-28T15:47:32Z,2025-05-28T21:51:58+00:00,1,6.07
473,Update op-geth for geth-based build,drwtsn95,2025-05-29T10:07:56Z,2025-06-16T16:48:26+00:00,1,438.68
476,chore: bump node-reth to 0.1.2,haardikk21,2025-06-10T14:43:01Z,2025-06-10T16:17:34+00:00,1,1.58
478,Automate Node Upgrade Process: Update Script,JenabaBa,2025-06-13T21:45:59Z,2025-06-17T21:14:19+00:00,4,95.47
481,[StepSecurity] Apply security best practices,stepsecurity-app,2025-06-18T17:08:12Z,2025-06-18T18:15:21+00:00,1,1.12
482,dependency updater: support large repos & simplify config,JenabaBa,2025-06-20T19:17:17Z,2025-07-02T15:59:48+00:00,3,284.71
488,Add Commit Message Feature to Dependency Updater,JenabaBa,2025-07-02T17:42:08Z,2025-07-02T22:05:38+00:00,3,4.39
491,"docs (README.md): fix typo ""accomodate""",gap-editor,2025-07-06T10:17:16Z,2025-07-06T13:23:36+00:00,1,3.11
497,Dependency Updater: Github Action Workflow for Scheduled Updater Runs,JenabaBa,2025-07-08T16:19:14Z,2025-07-09T17:49:00+00:00,2,25.5
500,chore: updated reth,github-actions,2025-07-09T19:03:26Z,2025-07-09T22:22:05+00:00,6,3.31
503,Dependency Updater: Change Updater Workflow Schedule,JenabaBa,2025-07-09T21:19:02Z,2025-07-10T16:45:52+00:00,1,19.45
505,[StepSecurity] Apply security best practices,stepsecurity-app,2025-07-12T00:16:33Z,2025-07-12T15:02:21+00:00,1,14.76
506,docs(README): the missing reference to Farcaster has been added to the documentation,operagxoksana,2025-07-13T14:43:32Z,2025-07-21T15:13:34+00:00,2,192.5
508,"chore: updated node-reth, nethermind, op-geth, optimism",github-actions,2025-07-16T15:28:15Z,2025-07-18T17:42:59+00:00,1,50.25
510,fix: remove debug print statement and fix error messages in dependency updater,pashka8,2025-07-19T12:17:31Z,2025-07-21T15:23:08+00:00,1,51.09
511,"chore: updated node-reth, nethermind, reth",github-actions,2025-07-22T13:16:44Z,2025-07-23T15:51:17+00:00,2,26.58
516,Dependency Updater: change workflow to use GITHUB_OUTPUT instead of env,JenabaBa,2025-07-28T23:22:13Z,2025-07-31T19:57:50+00:00,1,68.59
519,chore: updated nethermind,github-actions,2025-07-31T13:16:49Z,2025-08-28T08:55:09+00:00,1,667.64
520,Dependency Updater: fix commit description formatting,JenabaBa,2025-08-01T16:01:24Z,2025-08-04T16:45:07+00:00,1,72.73
521,fixed typos and removed print,letmehateu,2025-08-01T20:24:26Z,2025-08-13T17:04:28+00:00,7,284.67
522,Dependency updater: remove hardcoded dependency key from debug line,GarmashAlex,2025-08-06T11:35:00Z,2025-08-06T18:11:43+00:00,2,6.61
532,fix GitHub markdown syntax for NOTE block in README,reallesee,2025-08-16T08:21:39Z,2025-09-22T19:29:21+00:00,1,899.13
545,chore: bump node reth to 0.1.8,haardikk21,2025-09-19T15:20:32Z,2025-09-23T18:21:48+00:00,3,99.02
